word1,word2,human_similarity,model_similarity
automobile,car,3.92,2.932193875312805
gem,jewel,3.84,2.8339847922325134
journey,voyage,3.84,2.8734667897224426
boy,lad,3.76,2.5372190475463867
coast,shore,3.7,3.005194067955017
asylum,madhouse,3.61,
magician,wizard,3.5,2.282478302717209
midday,noon,3.42,2.5916693806648254
furnace,stove,3.11,
food,fruit,3.08,2.4400833547115326
bird,cock,3.05,2.449650466442108
bird,crane,2.97,
implement,tool,2.95,2.410482347011566
brother,monk,2.82,2.235452964901924
brother,lad,1.66,2.618439733982086
crane,implement,1.68,
car,journey,1.16,2.7121055722236633
monk,oracle,1.1,
cemetery,woodland,0.95,
food,rooster,0.89,2.4331032633781433
coast,hill,0.87,2.87184739112854
forest,graveyard,0.84,2.716837525367737
shore,woodland,0.63,
monk,slave,0.55,1.8313072174787521
coast,forest,0.42,2.864237904548645
lad,wizard,0.42,2.62277352809906
cord,smile,0.13,1.8455815762281418
glass,magician,0.11,1.9618787616491318
rooster,voyage,0.08,2.5190787315368652
noon,string,0.08,1.7422280609607697
