word1,word2,human_similarity,model_similarity
automobile,car,3.92,2.2703639566898346
gem,jewel,3.84,2.0090151904150844
journey,voyage,3.84,1.973564025014639
boy,lad,3.76,2.0089636463671923
coast,shore,3.7,1.7650635242462158
asylum,madhouse,3.61,1.7328296601772308
magician,wizard,3.5,2.122806176543236
midday,noon,3.42,2.093208521604538
furnace,stove,3.11,1.9596403241157532
food,fruit,3.08,1.6614670753479004
bird,cock,3.05,1.6674409806728363
bird,crane,2.97,2.0401015542447567
implement,tool,2.95,2.2272152304649353
brother,monk,2.82,1.721640020608902
brother,lad,1.66,1.737893283367157
crane,implement,1.68,1.9982946985401213
car,journey,1.16,1.7250261902809143
monk,oracle,1.1,2.0930145233869553
cemetery,woodland,0.95,1.8910135850310326
food,rooster,0.89,2.0130800511687994
coast,hill,0.87,2.020982911810279
forest,graveyard,0.84,1.722932606935501
shore,woodland,0.63,1.7673848569393158
monk,slave,0.55,1.7938245683908463
coast,forest,0.42,2.1333219558000565
lad,wizard,0.42,1.9567948207259178
cord,smile,0.13,2.112961433827877
glass,magician,0.11,1.737952321767807
rooster,voyage,0.08,2.1910057961940765
noon,string,0.08,1.845850557088852
