word1,word2,human_similarity,model_similarity
cord,smile,0.02,2.112961433827877
rooster,voyage,0.04,2.1910057961940765
noon,string,0.04,1.845850557088852
fruit,furnace,0.05,1.9388856925070286
autograph,shore,0.06,1.8877331987023354
automobile,wizard,0.11,1.8501876890659332
mound,stove,0.14,2.0333314277231693
grin,implement,0.18,2.0178561527282
asylum,fruit,0.19,2.0757591277360916
asylum,monk,0.39,2.4485997557640076
graveyard,madhouse,0.42,2.0477922074496746
glass,magician,0.44,1.737952321767807
boy,rooster,0.44,2.524721622467041
cushion,jewel,0.45,2.09177266061306
monk,slave,0.57,1.7938245683908463
asylum,cemetery,0.79,2.147465795278549
coast,forest,0.85,2.1333219558000565
grin,lad,0.88,1.8025347292423248
shore,woodland,0.9,1.7673848569393158
monk,oracle,0.91,2.0930145233869553
boy,sage,0.96,1.9481655731797218
automobile,cushion,0.97,1.9767162520438433
mound,shore,0.97,1.8965147510170937
lad,wizard,0.99,1.9567948207259178
forest,graveyard,1.0,1.722932606935501
food,rooster,1.09,2.0130800511687994
cemetery,woodland,1.18,1.8910135850310326
shore,voyage,1.22,2.1408729404211044
bird,woodland,1.24,1.6202605068683624
coast,hill,1.26,2.020982911810279
furnace,implement,1.37,2.074232317507267
crane,rooster,1.41,2.144796594977379
hill,woodland,1.48,2.264584481716156
car,journey,1.55,1.7250261902809143
cemetery,mound,1.69,1.8458966463804245
glass,jewel,1.78,2.008581845089793
magician,oracle,1.82,2.142439439892769
crane,implement,2.37,1.9982946985401213
brother,lad,2.41,1.737893283367157
sage,wizard,2.46,2.087556019425392
oracle,sage,2.61,2.131418541073799
bird,crane,2.63,2.0401015542447567
bird,cock,2.63,1.6674409806728363
food,fruit,2.69,1.6614670753479004
brother,monk,2.74,1.721640020608902
asylum,madhouse,3.04,1.7328296601772308
furnace,stove,3.11,1.9596403241157532
magician,wizard,3.21,2.122806176543236
hill,mound,3.29,2.283181518316269
cord,string,3.41,1.8806917071342468
glass,tumbler,3.45,1.8545631021261215
grin,smile,3.46,1.7474844753742218
serf,slave,3.46,1.9921649610623717
journey,voyage,3.58,1.973564025014639
autograph,signature,3.59,2.0451340936124325
coast,shore,3.6,1.7650635242462158
forest,woodland,3.65,1.9805950559675694
implement,tool,3.66,2.2272152304649353
cock,rooster,3.68,2.1548439115285873
boy,lad,3.82,2.0089636463671923
cushion,pillow,3.84,2.2262039333581924
cemetery,graveyard,3.88,2.114398494362831
automobile,car,3.92,2.2703639566898346
midday,noon,3.94,2.093208521604538
gem,jewel,3.94,2.0090151904150844
